document_name[Text](Document Name),document_title[Text](Document Title),document_type[Text](Document Text),document_description[Text](Document Description),document_date[Text](Date Uploaded),document_size[Long](Document Size)
ecommerce_products_1k.json,eCommerce Product Data (1K),JSON Data,Sample digital commerce product data set,Apr-24-2022 11:25:00,4711410
ecommerce_products_1k.xml,eCommerce Product Data (1K),JSON Schema,Sample digital commerce product data set,Apr-24-2022 11:25:00,9369
graph_movies_data.csv,Internet Movie Database,Graph Data,Sample IMDb principals and movie data set,Jan-18-2022 10:20:00,2845
graph_movies_vertex_schema.xml,Internet Movie Database,Node Schema,Sample IMDb principals and movie data set,Jan-18-2022 10:15:00,817
graph_movies_edge_schema.xml,Internet Movie Database,Relationship Schema,Sample IMDb principals and movie data set,Jan-18-2022 10:15:00,571
