release_number[Text](Release Number),release_date[Text](Release Date),developer_name[Text](Developer Name),change_description[Text](Change Description),redis_dependencies[Text](Redis Dependencies)
1.0.0,"June 1, 2022",Al Cole,Release of the RedisGraph application,"Redis Stack 6.2.0"
0.8.0,"May 1, 2022",Al Cole,Release of the RediSearch for JSON applications,"Redis Stack 6.2.0"
0.6.0,"April 1, 2022",Al Cole,Release of the RediSearch for Hashes applications,"Redis Stack 6.2.0"
0.4.0,"March 1, 2022",Al Cole,Release of the RedisJSON application,"Redis Stack 6.2.0"
0.2.0,"February 1, 2022",Al Cole,Release of the RedisCore application,Redis 6.1
0.1.0,"January 1, 2022",Al Cole,Release of the Launcher and Data Modeler applications,None
